,,,,,,,,,
,COLOR_ID,HEX_CODE,RGB_ID,CMYK_ID,HSV_ID,WARM,ASSOCIATION_1,ASSOCIATION_2,ASSOCIATION_3
,RED,#961a1a,"150,  26, 26","0%, 83%, 83%, 41%","0°, 83%, 59%",1,INTENSITY,RAGE,ROMANCE
,PURPLE,#811a96,"129, 26, 150","14%, 83%, 0%, 41%","290°, 83%, 59%",0,CREATIVITY,ROYALTY,MYSTERY
,ORANGE,#ed7428,"237, 116, 40","0%, 51%, 83%, 7%","23°, 83%, 93%",1,ENERGY,ALERTNESS,FRIENDSHIP
,GREEN,#139611,"19, 150, 17","87%, 0%, 89%, 41%","119°, 89%, 59%",0,HARMONY,FRESHNESS,IMMATURITY
,DARK BLUE,#191196,"25, 17, 150","83%, 89%, 0%, 41%","244°, 89%, 59%",0,AUTHORITY,ELEGANCE,DEPTH
,PINK,#e889d5,"232, 137, 213","0%, 41%, 8%, 9%","312°, 41%, 91%",1,HEALING,PEACE,PROTEST
,BLACK,#120f12,"18, 15, 18","0%, 17%, 0%, 93%","300°, 17%, 7%",0,SOPHISTICATION,AUTHORITY,DEATH
,GRAY,#989b9c,"151, 153, 155","3%, 1%, 0%, 39%","204°, 3%, 61%",0,BALANCE,DULLNESS,RESERVED
,YELLOW,#fafa8c,"250, 250, 140","0%, 0%, 44%, 2%","60°, 44%, 98%",1,CONFIDENCE,EGOTISM,CORWARDICE
,PALE BLUE,#a7e3f2,"167, 227, 242","31%, 6%, 0%, 5%","191°, 31%, 95%",0,TRANQUILITY,TRUST,IDEALISTIC
,BROWN,#5e412b,"94, 65, 43","0%, 31%, 54%, 63%","26°, 54%, 37%",0,PRACTICAL,STABILITY,LONELINESS
,LIGHT GREEN,#90EE90,"144, 238, 144"," 39%, 0%, 39%, 7%","120°, 39%, 93%",0,GROWTH,HOPE,TRANQUILITY
,NAVY BLUE,#000080,"0, 0, 128","100%, 100%, 0%, 50%","240°, 100%, 50%",0,AUTHORITY,STABILITY,TRUST
,TEAL,#008080,"0, 128, 128","100%, 0%, 0%, 50%","180°, 100%, 50%",0,ELEGANCE,BALANCE,HONESTY
,MAROON,#800000,"128, 0, 0"," 0%, 100%, 100%, 50%","0°, 100%, 50%",1,STRENGTH,WARMTH,PASSION
,OLIVE,#808000,"128, 128, 0"," 0%, 0%, 100%, 50%","60°, 100%, 50%",0,MILITARY,RENEWAL,GROUNDED
,LIME,#00FF00,"0, 255, 0","0%, 0%, 100%, 0%","120°, 100%, 100%",1,LIVELY,EXCITEMENT,HAPPINESS
,SKY BLUE,#87CEEB,"135, 206, 235","43%, 12%, 0%, 8%","197°, 43%, 92%",0,CALMNESS,FREEDOM,TRANQUILITY
,SCARLET,#FF2400,"255, 36, 0","0%, 86%, 100%, 0%","9°, 100%, 100%",1,COURAGE,SIN,ENERGY
,GOLD,#FFD700,"255, 215, 0","0%, 16%, 100%, 0%","51°, 100%, 100%",1,WEALTH,SPIRITUAL,VULGARITY
,MAGENTA,#FF00FF,"255, 0, 255","0%, 100%, 0%, 0%","300°, 100%, 100%",1,FEMININE ,INTENSITY ,COOPERATION
,BRASS,#B5A642,"181, 166, 66","0%, 8%, 64%, 29%","54°, 64%, 71%",1,SECURITY,DURABILITY,ABUNDANCE
,FIREBRICK,#B22222,"178, 34, 34","0%, 81%, 81%, 30%","0°, 81%, 70%",1,LOVE,ENERGY,CAUTION
,SUNSET ORANGE,#FF8C00,"255, 140, 0","0%, 45%, 100%, 0%","33°, 100%, 100%",1,DYNAMIC,OPTIMISM,BEAUTY
,TERRA COTTA,#E2725B,"226, 114, 91","0%, 49%, 60%, 11%","13°, 60%, 89%",1,NATURE,COMFORT,CONNECTION
,FIREBRICK,#B22222,"178, 34, 34","0%, 81%, 81%, 30%","0°, 81%, 70%",1,LOVE,ENERGY,CAUTION
,SUNSET ORANGE,#FF8C00,"255, 140, 0","0%, 45%, 100%, 0%","33°, 100%, 100%",1,DYNAMIC,OPTIMISM,BEAUTY
,TERRA COTTA,#E2725B,"226, 114, 91","0%, 49%, 60%, 11%","13°, 60%, 89%",1,NATURE,COMFORT,CONNECTION
,CRIMSON RED,#DC143C,"220, 20, 60","0%, 91%, 73%, 14%","348°, 91%, 86%",1,FEAR,INTENSITY,PASSION
,BURNT ORANGE,#CC5500,"204, 85, 0","0%, 58%, 100%, 20%","30°, 100%, 80%",1,ANXIETY,TENSION,URGENCY
,CHARCOAL BLACK,#2F2F2F,"47, 47, 47","0%, 0%, 0%, 82%","0°, 0%, 18%",1,ISOLATION,DARKNESS,DESPAIR
,MIDNIGHT BLUE,#191970,"25, 25, 112","78%, 78%, 0%, 56%","240°, 78%, 44%",1,ALIENATION,COLDNESS,DEPTH
,MUD BROWN,#70543E,"112, 84, 62","0%, 25%, 45%, 56%","30°, 45%, 44%",1,FATIGUE,REALITY,STILLNESS
